10000,,,,,,,,,,,,,,,,,,,,,,,
No.,Channel Reserved,,Dropped Call,,Blocked Call,Channel Reserved,,Dropped Call,,Blocked Call,,,,,,,,,,,,,
0,0,0.0052,52,0.003,30,1,0.0029,29,0.0103,103,37.7294,,,,,,,,,,,,
1,0,0.0067,67,0.005,50,1,0.0038,38,0.0121,121,61.3324,,,,Scheme,average No. of dropped call,average No. of blocked call,standard deviation of No. of dropped call,standard deviation of No. of blocked call,average % of dropped call rate,average % of blocked call rate,"standard
deviation
% Drop Call
Rate","standard
deviation
% Block Call
Rate"
2,0,0.0067,67,0.0038,38,1,0.0032,32,0.0122,122,,,,,FCA(0),,,,,,,,
3,0,0.0048,48,0.0053,53,1,0.0018,18,0.0125,125,,,,,FCA(1),,,,,,,,
4,0,0.0046,46,0.0033,33,1,0.0018,18,0.0115,115,,,,,,,,,,,,,
5,0,0.0061,61,0.0045,45,1,0.0023,23,0.014,140,,,,,,,,,,,,,
6,0,0.0053,53,0.0038,38,1,0.0024,24,0.0112,112,,,,,,,,,,,,,
7,0,0.0072,72,0.0043,43,1,0.0038,38,0.0107,107,,,,61.3324,,,,,,,,,
8,0,0.0053,53,0.0025,25,1,0.0031,31,0.01,100,,,,37.7294,,,,,,,,,
9,0,0.0053,53,0.0043,43,1,0.0026,26,0.0119,119,,,,11.18260324,,,,,,,,,
10,0,0.0051,51,0.0031,31,1,0.0026,26,0.0106,106,,,,7.849760348,,,,,,,,,
11,0,0.0072,72,0.0034,34,1,0.0034,34,0.0113,113,,,,0.00613324,0.00111826,,,,,,,,
12,0,0.0055,55,0.0041,41,1,0.003,30,0.0121,121,,,,0.00377294,0.000784976,,,,,,,,
13,0,0.0071,71,0.0039,39,1,0.0039,39,0.0113,113,,,,,,,,,,,,,
14,0,0.008,80,0.0055,55,1,0.005,50,0.0135,135,,,,32.1344,,,,,,,,,
15,0,0.0053,53,0.0044,44,1,0.0032,32,0.0113,113,,,,117.7729,,,,,,,,,
16,0,0.0081,81,0.0041,41,1,0.0049,49,0.0114,114,,,,7.262603609,,,,,,,,,
17,0,0.0051,51,0.0033,33,1,0.0029,29,0.0094,94,,,,15.18411609,,,,,,,,,
18,0,0.0068,68,0.0044,44,1,0.003,30,0.0147,147,,,,0.00072626,,,,,,,,,
19,0,0.0055,55,0.0045,45,1,0.0024,24,0.0142,142,,,,0.001518412,,,,,,,,,
20,0,0.006,60,0.0047,47,1,0.0037,37,0.0135,135,,,,,,,,,,,,,
21,0,0.0048,48,0.003,30,1,0.002,20,0.0109,109,,,,,,,,,,,,,
22,0,0.0064,64,0.0032,32,1,0.003,30,0.0108,108,,,,,,,,,,,,,
23,0,0.0068,68,0.0047,47,1,0.0028,28,0.0127,127,,,,,,,,,,,,,
24,0,0.0053,53,0.0041,41,1,0.0029,29,0.0138,138,,,,,,,,,,,,,
25,0,0.0045,45,0.0038,38,1,0.0024,24,0.0109,109,,,,,,,,,,,,,
26,0,0.0057,57,0.0048,48,1,0.0026,26,0.0137,137,,,,,,,,,,,,,
27,0,0.0085,85,0.0044,44,1,0.0051,51,0.0123,123,,,,,,,,,,,,,
28,0,0.0068,68,0.0041,41,1,0.004,40,0.0128,128,,,,,,,,,,,,,
29,0,0.0062,62,0.0028,28,1,0.0029,29,0.0122,122,,,,,,,,,,,,,
30,0,0.0077,77,0.0033,33,1,0.0037,37,0.0124,124,,,,,,,,,,,,,
31,0,0.0078,78,0.004,40,1,0.0048,48,0.0126,126,,,,,,,,,,,,,
32,0,0.0053,53,0.0036,36,1,0.0034,34,0.011,110,,,,,,,,,,,,,
33,0,0.0074,74,0.003,30,1,0.0042,42,0.0087,87,,,,,,,,,,,,,
34,0,0.0068,68,0.0049,49,1,0.0038,38,0.0137,137,,,,,,,,,,,,,
35,0,0.0069,69,0.0043,43,1,0.0029,29,0.0127,127,,,,,,,,,,,,,
36,0,0.0053,53,0.0033,33,1,0.0033,33,0.01,100,,,,,,,,,,,,,
37,0,0.0055,55,0.0026,26,1,0.0033,33,0.0095,95,,,,,,,,,,,,,
38,0,0.007,70,0.0061,61,1,0.0024,24,0.0158,158,,,,,,,,,,,,,
